19240,8348
19240,26703
19240,7934
19240,4897
19240,2343
19240,42112
19240,47080
19240,9484
19240,29555
19240,39600
19240,27210
19240,19731
19240,26213
19240,28222
19240,2817
19240,21671
19240,19125
19240,19365
19240,10300
8348,14550
8348,38774
8348,11375
8348,10175
8348,1837
8348,4063
8348,22508
8348,15522
8348,37383
8348,28747
8348,2745
8348,38148
8348,7347
8348,3734
8348,40929
8348,14017
8348,3549
8348,13374
8348,14693
8348,17140
8348,19510
8348,41844
8348,11645
14550,43465
14550,46789
14550,10102
14550,19235
14550,35088
14550,40972
14550,46387
14550,3525
14550,38190
14550,37670
14550,23436
14550,21383
14550,36324
14550,33053
14550,29004
14550,30935
14550,11282
14550,5227
14550,38136
14550,38490
14550,37116
14550,30882
14550,37873
14550,47511
14550,1446
43465,43733
43465,40533
43465,46218
43465,8082
43465,42190
43733,36239
43733,25950
43733,8214
43733,4628
43733,30749
36239,18125
36239,8721
36239,32872
18125,37118
18125,20741
18125,1573
18125,7454
18125,16962
18125,1527
18125,19084
18125,5018
18125,10399
18125,33373
18125,19637
18125,25916
18125,8253
18125,6397
18125,40692
18125,420
18125,35348
18125,35637
18125,43785
18125,29735
18125,9721
18125,26116
18125,11502
18125,35662
18125,23922
18125,29915
18125,12306
18125,33398
18125,15607
18125,24383
18125,12163
18125,43915
18125,24375
37118,19957
37118,32821
37118,35839
37118,20745
37118,33365
37118,21048
37118,33620
37118,39207
37118,12821
37118,22212
37118,12330
37118,27910
37118,661
19957,23217
19957,12177
19957,2096
19957,24338
19957,16564
19957,27947
19957,28007
19957,32235
19957,21755
23217,23873
23217,28360
23217,18133
23217,23603
23217,28003
23873,23131
23873,13428
23873,11486
23873,13046
23873,24281
23873,6828
23873,19207
23873,26025
23873,4977
23873,16185
23873,34410
23873,4242
23873,46910
23873,12026
23873,29206
23873,45221
23873,4902
23131,11593
23131,2228
23131,26648
23131,2262
23131,8574
23131,22746
23131,36283
23131,35144
23131,10511
23131,33498
23131,38461
23131,14784
23131,37907
11593,29713
11593,18947
11593,6806
11593,11126
11593,28340
29713,14175
29713,42065
29713,39329
14175,41698
14175,16886
14175,40251
14175,46847
14175,40132
14175,28614
14175,21651
14175,10184
14175,1181
41698,1919
41698,15864
41698,6847
41698,17413
41698,40243
41698,7305
41698,9972
1919,10863
1919,32556
1919,35766
1919,18075
1919,32655
1919,3618
1919,31012
1919,36219
1919,23408
1919,23705
1919,7458
1919,17833
1919,8158
10863,13375
10863,41358
10863,25064
10863,18214
10863,36683
10863,23098
10863,44320
10863,19851
10863,18333
10863,38677
10863,7542
10863,3550
10863,44274
13375,36315
36315,31621
36315,29101
36315,19605
36315,23655
36315,14393
36315,28990
36315,27182
36315,39958
36315,39542
31621,12252
31621,38049
31621,11473
31621,25303
31621,39302
31621,22465
31621,36074
31621,32942
31621,35567
31621,30796
31621,24360
31621,30936
31621,15915
31621,40878
12252,22103
12252,1815
12252,33991
12252,32658
12252,19104
12252,12756
12252,6650
12252,18602
12252,10893
22103,15109
22103,23978
22103,24024
22103,9071
22103,5305
22103,7573
22103,24865
22103,710
22103,29161
22103,26151
22103,16846
22103,12862
22103,3754
22103,5096
22103,14949
22103,46943
22103,188
22103,15607
22103,24747
22103,18470
22103,45893
22103,4656
22103,20203
22103,31111
22103,4242
22103,25375
22103,20683
22103,2418
22103,19840
22103,35720
22103,355
15109,41834
15109,9410
15109,39625
41834,33220
41834,40451
41834,26659
41834,32318
41834,2598
41834,39928
41834,28219
33220,33138
33220,14072
33220,10378
33220,44053
33220,40054
33220,7237
33220,5756
33220,25979
33220,40638
33220,4290
33220,4213
33138,39586
33138,27937
33138,38980
33138,24454
33138,13319
33138,14513
33138,30279
33138,6247
33138,22798
33138,37338
33138,26712
33138,14873
33138,551
33138,13530
33138,34972
33138,8593
33138,14370
33138,25681
33138,40834
33138,20757
33138,16747
39586,8674
39586,40952
39586,32235
39586,19084
39586,28258
39586,6871
39586,9997
8674,43126
8674,31710
8674,1403
8674,34223
8674,26963
8674,35652
8674,45013
8674,37653
8674,40701
8674,41804
8674,17734
43126,19782
43126,19485
43126,38204
19782,26888
19782,28135
19782,6342
19782,10221
19782,34751
19782,10937
19782,25083
19782,10093
19782,34714
19782,38389
19782,25297
19782,8016
19782,3146
26888,24085
26888,30172
26888,13759
26888,5914
26888,16395
26888,41413
26888,26629
26888,20138
26888,19257
26888,14552
26888,12053
24085,20643
24085,10928
24085,32753
24085,11046
24085,22201
24085,31073
24085,18300
24085,19718
24085,40605
24085,8283
24085,1505
24085,38065
24085,7402
24085,912
24085,40422
24085,40386
